,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡,日期
0,湖北省,56249,5623,1596,武汉,1548.0,380.0,110.0,39462.0,2915.0,1233.0,2020-02-16
1,湖北省,56249,5623,1596,孝感,87.0,40.0,3.0,3201.0,353.0,65.0,2020-02-16
2,湖北省,56249,5623,1596,黄冈,6.0,105.0,7.0,2823.0,716.0,75.0,2020-02-16
3,湖北省,56249,5623,1596,荆州,12.0,70.0,4.0,1490.0,263.0,36.0,2020-02-16
4,湖北省,56249,5623,1596,随州,22.0,17.0,3.0,1254.0,113.0,22.0,2020-02-16
5,湖北省,56249,5623,1596,襄阳,16.0,29.0,1.0,1144.0,114.0,19.0,2020-02-16
6,湖北省,56249,5623,1596,鄂州,38.0,23.0,1.0,1230.0,222.0,34.0,2020-02-16
7,湖北省,56249,5623,1596,黄石,8.0,14.0,1.0,988.0,192.0,14.0,2020-02-16
8,湖北省,56249,5623,1596,荆门,7.0,5.0,2.0,909.0,117.0,30.0,2020-02-16
10,湖北省,56249,5623,1596,咸宁,12.0,25.0,0.0,852.0,152.0,8.0,2020-02-16
11,湖北省,56249,5623,1596,十堰,5.0,15.0,0.0,602.0,116.0,2.0,2020-02-16
12,湖北省,56249,5623,1596,仙桃,9.0,24.0,0.0,523.0,87.0,17.0,2020-02-16
13,湖北省,56249,5623,1596,天门,25.0,6.0,0.0,447.0,27.0,10.0,2020-02-16
14,湖北省,56249,5623,1596,恩施州,3.0,1.0,0.0,247.0,76.0,4.0,2020-02-16
15,湖北省,56249,5623,1596,潜江,50.0,0.0,1.0,166.0,12.0,6.0,2020-02-16
16,湖北省,56249,5623,1596,神农架林区,0.0,0.0,0.0,10.0,8.0,0.0,2020-02-16
17,湖北省,54406,4821,1457,武汉,1923.0,512.0,107.0,37914.0,2535.0,1123.0,2020-02-15
18,湖北省,54406,4821,1457,孝感,105.0,58.0,5.0,3114.0,313.0,62.0,2020-02-15
19,湖北省,54406,4821,1457,黄冈,26.0,83.0,9.0,2817.0,611.0,68.0,2020-02-15
20,湖北省,54406,4821,1457,荆州,31.0,30.0,5.0,1478.0,193.0,32.0,2020-02-15
21,湖北省,54406,4821,1457,随州,26.0,24.0,3.0,1232.0,96.0,19.0,2020-02-15
22,湖北省,54406,4821,1457,襄阳,17.0,12.0,2.0,1128.0,85.0,18.0,2020-02-15
23,湖北省,54406,4821,1457,鄂州,67.0,83.0,1.0,1192.0,199.0,33.0,2020-02-15
24,湖北省,54406,4821,1457,宜昌,29.0,10.0,2.0,906.0,92.0,15.0,2020-02-15
25,湖北省,54406,4821,1457,黄石,37.0,41.0,2.0,980.0,178.0,13.0,2020-02-15
26,湖北省,54406,4821,1457,荆门,1.0,7.0,3.0,902.0,112.0,28.0,2020-02-15
27,湖北省,54406,4821,1457,咸宁,108.0,28.0,0.0,840.0,127.0,8.0,2020-02-15
28,湖北省,54406,4821,1457,十堰,11.0,12.0,0.0,597.0,101.0,2.0,2020-02-15
29,湖北省,54406,4821,1457,仙桃,14.0,5.0,0.0,514.0,63.0,17.0,2020-02-15
30,湖北省,54406,4821,1457,天门,6.0,0.0,0.0,422.0,21.0,10.0,2020-02-15
31,湖北省,54406,4821,1457,恩施州,7.0,15.0,0.0,244.0,75.0,4.0,2020-02-15
32,湖北省,54406,4821,1457,潜江,12.0,1.0,0.0,116.0,12.0,5.0,2020-02-15
33,湖北省,54406,4821,1457,神农架林区,0.0,0.0,0.0,10.0,8.0,0.0,2020-02-15
35,湖北省,51986,4131,1426,孝感,135.0,46.0,8.0,3009.0,255.0,57.0,2020-02-14
36,湖北省,51986,4131,1426,黄冈,129.0,101.0,1.0,2791.0,528.0,59.0,2020-02-14
37,湖北省,51986,4131,1426,荆州,16.0,59.0,4.0,1447.0,163.0,27.0,2020-02-14
38,湖北省,51986,4131,1426,随州,46.0,10.0,2.0,1206.0,72.0,16.0,2020-02-14
39,湖北省,51986,4131,1426,襄阳,10.0,7.0,3.0,1111.0,73.0,16.0,2020-02-14
40,湖北省,51986,4131,1426,鄂州,60.0,19.0,2.0,1125.0,116.0,32.0,2020-02-14
41,湖北省,51986,4131,1426,黄石,32.0,22.0,2.0,943.0,137.0,11.0,2020-02-14
42,湖北省,51986,4131,1426,宜昌,67.0,10.0,2.0,877.0,82.0,13.0,2020-02-14
44,湖北省,51986,4131,1426,咸宁,198.0,14.0,1.0,732.0,99.0,8.0,2020-02-14
45,湖北省,51986,4131,1426,十堰,24.0,8.0,1.0,586.0,89.0,2.0,2020-02-14
46,湖北省,51986,4131,1426,仙桃,20.0,10.0,1.0,500.0,58.0,17.0,2020-02-14
47,湖北省,51986,4131,1426,天门,54.0,8.0,0.0,416.0,21.0,10.0,2020-02-14
48,湖北省,51986,4131,1426,恩施州,8.0,12.0,0.0,237.0,60.0,4.0,2020-02-14
49,湖北省,51986,4131,1426,潜江,10.0,3.0,0.0,104.0,11.0,5.0,2020-02-14
50,湖北省,51986,4131,1426,神农架林区,0.0,0.0,0.0,10.0,8.0,0.0,2020-02-14
51,湖北省,48206,3459,1310,武汉,13436.0,543.0,216.0,32994.0,1923.0,1036.0,2020-02-13
52,湖北省,48206,3459,1310,孝感,123.0,30.0,4.0,2874.0,209.0,49.0,2020-02-13
53,湖北省,48206,3459,1310,黄冈,264.0,85.0,4.0,2662.0,427.0,58.0,2020-02-13
54,湖北省,48206,3459,1310,荆州,321.0,24.0,2.0,1431.0,104.0,23.0,2020-02-13
55,湖北省,48206,3459,1310,随州,31.0,6.0,2.0,1160.0,62.0,14.0,2020-02-13
56,湖北省,48206,3459,1310,襄阳,13.0,6.0,1.0,1101.0,66.0,13.0,2020-02-13
57,湖北省,48206,3459,1310,鄂州,204.0,25.0,2.0,1065.0,97.0,30.0,2020-02-13
58,湖北省,48206,3459,1310,荆门,231.0,9.0,0.0,927.0,93.0,24.0,2020-02-13
59,湖北省,48206,3459,1310,黄石,37.0,14.0,3.0,911.0,115.0,9.0,2020-02-13
60,湖北省,48206,3459,1310,宜昌,26.0,10.0,3.0,810.0,72.0,11.0,2020-02-13
61,湖北省,48206,3459,1310,十堰,26.0,2.0,0.0,562.0,81.0,1.0,2020-02-13
62,湖北省,48206,3459,1310,咸宁,9.0,9.0,1.0,534.0,85.0,7.0,2020-02-13
63,湖北省,48206,3459,1310,仙桃,20.0,5.0,3.0,480.0,48.0,16.0,2020-02-13
64,湖北省,48206,3459,1310,天门,69.0,1.0,0.0,362.0,13.0,10.0,2020-02-13
65,湖北省,48206,3459,1310,恩施州,26.0,3.0,1.0,229.0,48.0,4.0,2020-02-13
66,湖北省,48206,3459,1310,潜江,4.0,0.0,0.0,94.0,8.0,5.0,2020-02-13
67,湖北省,48206,3459,1310,神农架林区,0.0,1.0,0.0,10.0,8.0,0.0,2020-02-13
68,湖北省,33366,2686,1068,武汉,1104.0,138.0,72.0,19558.0,1380.0,820.0,2020-02-12
69,湖北省,33366,2686,1068,孝感,109.0,39.0,4.0,2751.0,179.0,45.0,2020-02-12
70,湖北省,33366,2686,1068,黄冈,66.0,39.0,2.0,2398.0,342.0,54.0,2020-02-12
71,湖北省,33366,2686,1068,随州,34.0,30.0,0.0,1129.0,56.0,12.0,2020-02-12
72,湖北省,33366,2686,1068,荆州,35.0,19.0,4.0,1110.0,80.0,21.0,2020-02-12
73,湖北省,33366,2686,1068,襄阳,25.0,6.0,0.0,1088.0,60.0,12.0,2020-02-12
74,湖北省,33366,2686,1068,黄石,39.0,14.0,1.0,874.0,101.0,6.0,2020-02-12
75,湖北省,33366,2686,1068,鄂州,71.0,11.0,2.0,861.0,72.0,28.0,2020-02-12
76,湖北省,33366,2686,1068,宜昌,12.0,10.0,0.0,784.0,62.0,8.0,2020-02-12
77,湖北省,33366,2686,1068,荆门,40.0,15.0,3.0,696.0,84.0,24.0,2020-02-12
78,湖北省,33366,2686,1068,十堰,31.0,15.0,0.0,536.0,79.0,1.0,2020-02-12
79,湖北省,33366,2686,1068,咸宁,10.0,20.0,1.0,525.0,76.0,6.0,2020-02-12
80,湖北省,33366,2686,1068,仙桃,22.0,2.0,2.0,460.0,43.0,13.0,2020-02-12
81,湖北省,33366,2686,1068,天门,32.0,0.0,0.0,293.0,12.0,10.0,2020-02-12
82,湖北省,33366,2686,1068,恩施州,8.0,12.0,1.0,203.0,45.0,3.0,2020-02-12
83,湖北省,33366,2686,1068,潜江,0.0,5.0,2.0,90.0,8.0,5.0,2020-02-12
84,湖北省,33366,2686,1068,神农架林区,0.0,1.0,0.0,10.0,7.0,0.0,2020-02-12
85,湖北省,31728,2310,974,武汉,1552.0,196.0,67.0,18454.0,1242.0,748.0,2020-02-11
86,湖北省,31728,2310,974,孝感,101.0,59.0,8.0,2642.0,140.0,41.0,2020-02-11
87,湖北省,31728,2310,974,黄冈,80.0,88.0,7.0,2332.0,303.0,52.0,2020-02-11
88,湖北省,31728,2310,974,随州,46.0,3.0,2.0,1095.0,26.0,12.0,2020-02-11
89,湖北省,31728,2310,974,荆州,30.0,15.0,2.0,1075.0,61.0,17.0,2020-02-11
90,湖北省,31728,2310,974,襄阳,44.0,12.0,3.0,1063.0,54.0,12.0,2020-02-11
91,湖北省,31728,2310,974,黄石,30.0,20.0,2.0,835.0,87.0,5.0,2020-02-11
92,湖北省,31728,2310,974,鄂州,65.0,13.0,2.0,790.0,61.0,26.0,2020-02-11
93,湖北省,31728,2310,974,宜昌,23.0,9.0,0.0,772.0,52.0,8.0,2020-02-11
94,湖北省,31728,2310,974,荆门,15.0,6.0,1.0,656.0,69.0,21.0,2020-02-11
95,湖北省,31728,2310,974,咸宁,8.0,12.0,1.0,515.0,56.0,5.0,2020-02-11
96,湖北省,31728,2310,974,十堰,24.0,18.0,1.0,505.0,64.0,1.0,2020-02-11
97,湖北省,31728,2310,974,仙桃,22.0,0.0,4.0,438.0,41.0,11.0,2020-02-11
98,湖北省,31728,2310,974,天门,44.0,2.0,0.0,261.0,12.0,10.0,2020-02-11
99,湖北省,31728,2310,974,恩施州,8.0,3.0,2.0,195.0,33.0,2.0,2020-02-11
100,湖北省,31728,2310,974,潜江,5.0,0.0,1.0,90.0,3.0,3.0,2020-02-11
101,湖北省,31728,2310,974,神农架林区,0.0,0.0,0.0,10.0,6.0,0.0,2020-02-11
102,湖北省,29631,1854,871,武汉,1920.0,168.0,73.0,16902.0,1046.0,681.0,2020-02-10
103,湖北省,29631,1854,871,孝感,105.0,28.0,4.0,2541.0,81.0,33.0,2020-02-10
104,湖北省,29631,1854,871,黄冈,111.0,78.0,2.0,2252.0,215.0,45.0,2020-02-10
105,湖北省,29631,1854,871,随州,65.0,0.0,1.0,1049.0,23.0,10.0,2020-02-10
106,湖北省,29631,1854,871,荆州,48.0,4.0,2.0,1045.0,46.0,15.0,2020-02-10
107,湖北省,29631,1854,871,襄阳,31.0,2.0,2.0,1019.0,42.0,9.0,2020-02-10
108,湖北省,29631,1854,871,黄石,45.0,6.0,1.0,805.0,67.0,3.0,2020-02-10
109,湖北省,29631,1854,871,宜昌,38.0,7.0,0.0,749.0,43.0,8.0,2020-02-10
110,湖北省,29631,1854,871,鄂州,86.0,6.0,3.0,725.0,48.0,24.0,2020-02-10
112,湖北省,29631,1854,871,咸宁,14.0,21.0,0.0,507.0,44.0,4.0,2020-02-10
113,湖北省,29631,1854,871,十堰,14.0,6.0,0.0,481.0,46.0,0.0,2020-02-10
114,湖北省,29631,1854,871,仙桃,37.0,25.0,2.0,416.0,41.0,7.0,2020-02-10
115,湖北省,29631,1854,871,天门,20.0,0.0,0.0,217.0,10.0,10.0,2020-02-10
116,湖北省,29631,1854,871,恩施州,16.0,7.0,0.0,187.0,30.0,0.0,2020-02-10
117,湖北省,29631,1854,871,潜江,3.0,1.0,0.0,85.0,3.0,2.0,2020-02-10
118,湖北省,29631,1854,871,神农架林区,0.0,0.0,0.0,10.0,6.0,0.0,2020-02-10
119,湖北省,27100,1480,780,武汉,1379.0,131.0,63.0,14982.0,878.0,608.0,2020-02-09
120,湖北省,27100,1480,780,孝感,123.0,11.0,3.0,2436.0,53.0,29.0,2020-02-09
121,湖北省,27100,1480,780,黄冈,100.0,32.0,7.0,2141.0,137.0,43.0,2020-02-09
122,湖北省,27100,1480,780,荆州,56.0,11.0,2.0,997.0,42.0,13.0,2020-02-09
123,湖北省,27100,1480,780,襄阳,81.0,6.0,2.0,988.0,40.0,7.0,2020-02-09
124,湖北省,27100,1480,780,随州,31.0,0.0,0.0,984.0,23.0,9.0,2020-02-09
125,湖北省,27100,1480,780,黄石,57.0,13.0,0.0,760.0,61.0,2.0,2020-02-09
126,湖北省,27100,1480,780,宜昌,78.0,11.0,0.0,711.0,36.0,8.0,2020-02-09
127,湖北省,27100,1480,780,荆门,75.0,12.0,1.0,663.0,48.0,19.0,2020-02-09
128,湖北省,27100,1480,780,鄂州,70.0,9.0,1.0,639.0,42.0,21.0,2020-02-09
129,湖北省,27100,1480,780,咸宁,17.0,7.0,2.0,493.0,23.0,4.0,2020-02-09
130,湖北省,27100,1480,780,十堰,29.0,0.0,0.0,467.0,40.0,0.0,2020-02-09
131,湖北省,27100,1480,780,仙桃,20.0,2.0,0.0,379.0,16.0,5.0,2020-02-09
132,湖北省,27100,1480,780,天门,18.0,9.0,0.0,197.0,10.0,10.0,2020-02-09
133,湖北省,27100,1480,780,恩施州,11.0,3.0,0.0,171.0,23.0,0.0,2020-02-09
134,湖北省,27100,1480,780,潜江,2.0,1.0,0.0,82.0,2.0,2.0,2020-02-09
135,湖北省,27100,1480,780,神农架林区,0.0,4.0,0.0,10.0,6.0,0.0,2020-02-09
136,湖北省,24953,1218,699,武汉,1985.0,205.0,67.0,13603.0,747.0,545.0,2020-02-08
137,湖北省,24953,1218,699,孝感,172.0,12.0,1.0,2313.0,42.0,26.0,2020-02-08
138,湖北省,24953,1218,699,黄冈,144.0,24.0,4.0,2041.0,105.0,36.0,2020-02-08
139,湖北省,24953,1218,699,随州,38.0,14.0,0.0,953.0,23.0,9.0,2020-02-08
140,湖北省,24953,1218,699,荆州,56.0,7.0,1.0,941.0,31.0,11.0,2020-02-08
141,湖北省,24953,1218,699,襄阳,69.0,4.0,2.0,907.0,34.0,5.0,2020-02-08
142,湖北省,24953,1218,699,黄石,68.0,8.0,0.0,703.0,48.0,2.0,2020-02-08
143,湖北省,24953,1218,699,宜昌,23.0,10.0,1.0,633.0,25.0,8.0,2020-02-08
144,湖北省,24953,1218,699,荆门,35.0,12.0,1.0,588.0,36.0,18.0,2020-02-08
145,湖北省,24953,1218,699,鄂州,98.0,24.0,2.0,569.0,33.0,20.0,2020-02-08
146,湖北省,24953,1218,699,咸宁,33.0,8.0,1.0,476.0,16.0,2.0,2020-02-08
147,湖北省,24953,1218,699,十堰,43.0,12.0,0.0,438.0,40.0,0.0,2020-02-08
148,湖北省,24953,1218,699,仙桃,52.0,3.0,0.0,359.0,14.0,5.0,2020-02-08
149,湖北省,24953,1218,699,天门,16.0,0.0,0.0,179.0,1.0,10.0,2020-02-08
150,湖北省,24953,1218,699,恩施州,3.0,7.0,0.0,160.0,20.0,0.0,2020-02-08
151,湖北省,24953,1218,699,潜江,6.0,1.0,1.0,80.0,1.0,2.0,2020-02-08
152,湖北省,24953,1218,699,神农架林区,0.0,0.0,0.0,10.0,2.0,0.0,2020-02-08
153,湖北省,22112,867,618,武汉,1501.0,87.0,64.0,11618.0,542.0,478.0,2020-02-07
154,湖北省,22112,867,618,孝感,255.0,0.0,0.0,2141.0,30.0,25.0,2020-02-07
155,湖北省,22112,867,618,黄冈,90.0,19.0,3.0,1897.0,81.0,32.0,2020-02-07
156,湖北省,22112,867,618,随州,81.0,0.0,0.0,915.0,9.0,9.0,2020-02-07
157,湖北省,22112,867,618,荆州,84.0,5.0,0.0,885.0,24.0,10.0,2020-02-07
158,湖北省,22112,867,618,襄阳,51.0,5.0,1.0,838.0,30.0,3.0,2020-02-07
159,湖北省,22112,867,618,黄石,69.0,15.0,0.0,635.0,40.0,2.0,2020-02-07
160,湖北省,22112,867,618,宜昌,47.0,6.0,1.0,610.0,15.0,7.0,2020-02-07
161,湖北省,22112,867,618,荆门,45.0,3.0,0.0,553.0,24.0,17.0,2020-02-07
162,湖北省,22112,867,618,鄂州,48.0,1.0,0.0,471.0,9.0,18.0,2020-02-07
163,湖北省,22112,867,618,咸宁,44.0,3.0,0.0,443.0,8.0,1.0,2020-02-07
164,湖北省,22112,867,618,十堰,42.0,8.0,0.0,395.0,28.0,0.0,2020-02-07
165,湖北省,22112,867,618,仙桃,42.0,0.0,0.0,307.0,11.0,5.0,2020-02-07
166,湖北省,22112,867,618,天门,25.0,0.0,0.0,163.0,1.0,10.0,2020-02-07
167,湖北省,22112,867,618,恩施州,13.0,3.0,0.0,157.0,13.0,0.0,2020-02-07
168,湖北省,22112,867,618,潜江,10.0,0.0,0.0,74.0,0.0,1.0,2020-02-07
169,湖北省,22112,867,618,神农架林区,0.0,0.0,0.0,10.0,2.0,0.0,2020-02-07
170,湖北省,19665,712,549,武汉,1766.0,81.0,52.0,10117.0,455.0,414.0,2020-02-06
171,湖北省,19665,712,549,孝感,424.0,24.0,7.0,1886.0,30.0,25.0,2020-02-06
172,湖北省,19665,712,549,黄冈,162.0,10.0,4.0,1807.0,62.0,29.0,2020-02-06
173,湖北省,19665,712,549,随州,128.0,0.0,1.0,834.0,9.0,9.0,2020-02-06
174,湖北省,19665,712,549,荆州,88.0,7.0,1.0,801.0,19.0,10.0,2020-02-06
175,湖北省,19665,712,549,襄阳,52.0,18.0,0.0,787.0,25.0,2.0,2020-02-06
176,湖北省,19665,712,549,黄石,57.0,2.0,0.0,566.0,25.0,2.0,2020-02-06
177,湖北省,19665,712,549,宜昌,67.0,0.0,2.0,563.0,9.0,6.0,2020-02-06
178,湖北省,19665,712,549,荆门,86.0,5.0,1.0,508.0,21.0,17.0,2020-02-06
179,湖北省,19665,712,549,鄂州,41.0,2.0,0.0,423.0,8.0,18.0,2020-02-06
180,湖北省,19665,712,549,咸宁,15.0,3.0,1.0,399.0,5.0,1.0,2020-02-06
181,湖北省,19665,712,549,十堰,35.0,11.0,0.0,353.0,20.0,0.0,2020-02-06
182,湖北省,19665,712,549,仙桃,40.0,11.0,1.0,265.0,11.0,5.0,2020-02-06
183,湖北省,19665,712,549,恩施州,6.0,0.0,0.0,144.0,10.0,0.0,2020-02-06
184,湖北省,19665,712,549,天门,10.0,1.0,0.0,138.0,1.0,10.0,2020-02-06
185,湖北省,19665,712,549,潜江,10.0,0.0,0.0,64.0,0.0,1.0,2020-02-06
186,湖北省,19665,712,549,神农架林区,0.0,0.0,0.0,10.0,2.0,0.0,2020-02-06
187,湖北省,19665,712,549,待明确地区,0.0,0.0,0.0,0.0,18.0,0.0,2020-02-06
188,湖北省,16678,537,479,武汉,1967.0,68.0,49.0,8351.0,374.0,362.0,2020-02-05
189,湖北省,16678,537,479,黄冈,223.0,11.0,6.0,1645.0,52.0,25.0,2020-02-05
190,湖北省,16678,537,479,孝感,342.0,2.0,1.0,1462.0,6.0,18.0,2020-02-05
191,湖北省,16678,537,479,襄阳,103.0,6.0,1.0,735.0,7.0,2.0,2020-02-05
192,湖北省,16678,537,479,荆州,100.0,5.0,2.0,713.0,12.0,9.0,2020-02-05
193,湖北省,16678,537,479,随州,65.0,6.0,2.0,706.0,9.0,8.0,2020-02-05
194,湖北省,16678,537,479,黄石,104.0,14.0,0.0,509.0,23.0,2.0,2020-02-05
195,湖北省,16678,537,479,宜昌,44.0,7.0,1.0,496.0,9.0,4.0,2020-02-05
196,湖北省,16678,537,479,荆门,22.0,10.0,2.0,422.0,16.0,16.0,2020-02-05
197,湖北省,16678,537,479,咸宁,36.0,1.0,0.0,384.0,2.0,0.0,2020-02-05
198,湖北省,16678,537,479,鄂州,50.0,2.0,0.0,382.0,6.0,18.0,2020-02-05
199,湖北省,16678,537,479,十堰,27.0,3.0,0.0,318.0,9.0,0.0,2020-02-05
200,湖北省,16678,537,479,仙桃,37.0,0.0,1.0,225.0,0.0,4.0,2020-02-05
201,湖北省,16678,537,479,恩施州,15.0,5.0,0.0,138.0,10.0,0.0,2020-02-05
202,湖北省,16678,537,479,天门,11.0,0.0,0.0,128.0,0.0,10.0,2020-02-05
203,湖北省,16678,537,479,潜江,10.0,0.0,0.0,54.0,0.0,1.0,2020-02-05
204,湖北省,16678,537,479,神农架林区,0.0,0.0,0.0,10.0,2.0,0.0,2020-02-05
205,湖北省,13522,398,414,武汉,1242.0,78.0,48.0,6384.0,306.0,313.0,2020-02-04
206,湖北省,13522,398,414,黄冈,176.0,9.0,2.0,1422.0,41.0,19.0,2020-02-04
207,湖北省,13522,398,414,孝感,202.0,2.0,3.0,1120.0,4.0,17.0,2020-02-04
208,湖北省,13522,398,414,随州,183.0,0.0,1.0,641.0,3.0,6.0,2020-02-04
209,湖北省,13522,398,414,襄阳,84.0,0.0,1.0,632.0,1.0,1.0,2020-02-04
210,湖北省,13522,398,414,荆州,114.0,1.0,1.0,613.0,7.0,7.0,2020-02-04
211,湖北省,13522,398,414,宜昌,60.0,0.0,2.0,452.0,2.0,3.0,2020-02-04
212,湖北省,13522,398,414,黄石,71.0,1.0,0.0,405.0,9.0,2.0,2020-02-04
213,湖北省,13522,398,414,荆门,55.0,0.0,3.0,400.0,6.0,14.0,2020-02-04
214,湖北省,13522,398,414,咸宁,52.0,0.0,0.0,348.0,1.0,0.0,2020-02-04
215,湖北省,13522,398,414,鄂州,26.0,2.0,3.0,332.0,4.0,18.0,2020-02-04
216,湖北省,13522,398,414,十堰,35.0,4.0,0.0,291.0,6.0,0.0,2020-02-04
217,湖北省,13522,398,414,仙桃,19.0,0.0,0.0,188.0,0.0,3.0,2020-02-04
218,湖北省,13522,398,414,恩施州,12.0,0.0,0.0,123.0,5.0,0.0,2020-02-04
219,湖北省,13522,398,414,天门,2.0,0.0,0.0,117.0,0.0,10.0,2020-02-04
220,湖北省,13522,398,414,潜江,9.0,0.0,0.0,44.0,0.0,1.0,2020-02-04
221,湖北省,13522,398,414,神农架林区,3.0,0.0,0.0,10.0,2.0,0.0,2020-02-04
222,湖北省,11177,300,350,武汉,1033.0,53.0,41.0,5142.0,228.0,265.0,2020-02-03
223,湖北省,11177,300,350,黄冈,244.0,5.0,2.0,1246.0,32.0,17.0,2020-02-03
224,湖北省,11177,300,350,孝感,169.0,0.0,0.0,918.0,2.0,14.0,2020-02-03
225,湖北省,11177,300,350,襄阳,107.0,1.0,0.0,548.0,1.0,0.0,2020-02-03
226,湖北省,11177,300,350,荆州,166.0,2.0,2.0,499.0,6.0,6.0,2020-02-03
227,湖北省,11177,300,350,随州,74.0,0.0,2.0,458.0,3.0,5.0,2020-02-03
228,湖北省,11177,300,350,宜昌,39.0,2.0,0.0,392.0,2.0,1.0,2020-02-03
229,湖北省,11177,300,350,荆门,16.0,3.0,4.0,345.0,6.0,11.0,2020-02-03
230,湖北省,11177,300,350,黄石,82.0,0.0,0.0,334.0,8.0,2.0,2020-02-03
231,湖北省,11177,300,350,鄂州,28.0,0.0,2.0,306.0,2.0,15.0,2020-02-03
232,湖北省,11177,300,350,咸宁,50.0,0.0,0.0,296.0,1.0,0.0,2020-02-03
233,湖北省,11177,300,350,十堰,44.0,1.0,0.0,256.0,2.0,0.0,2020-02-03
234,湖北省,11177,300,350,仙桃,29.0,0.0,0.0,169.0,0.0,3.0,2020-02-03
235,湖北省,11177,300,350,天门,16.0,0.0,3.0,115.0,0.0,10.0,2020-02-03
236,湖北省,11177,300,350,恩施州,6.0,1.0,0.0,111.0,5.0,0.0,2020-02-03
237,湖北省,11177,300,350,潜江,0.0,0.0,0.0,35.0,0.0,1.0,2020-02-03
238,湖北省,11177,300,350,神农架林区,0.0,0.0,0.0,7.0,2.0,0.0,2020-02-03
239,湖北省,9074,267,294,武汉,894.0,69.0,32.0,4109.0,175.0,224.0,2020-02-02
240,湖北省,9074,267,294,黄冈,276.0,10.0,1.0,1002.0,27.0,15.0,2020-02-02
241,湖北省,9074,267,294,孝感,121.0,0.0,2.0,749.0,2.0,14.0,2020-02-02
242,湖北省,9074,267,294,襄阳,94.0,0.0,0.0,441.0,0.0,0.0,2020-02-02
243,湖北省,9074,267,294,随州,80.0,3.0,2.0,384.0,3.0,3.0,2020-02-02
244,湖北省,9074,267,294,宜昌,77.0,0.0,0.0,353.0,0.0,1.0,2020-02-02
245,湖北省,9074,267,294,荆州,46.0,2.0,0.0,333.0,4.0,4.0,2020-02-02
246,湖北省,9074,267,294,荆门,78.0,2.0,2.0,329.0,3.0,7.0,2020-02-02
247,湖北省,9074,267,294,鄂州,51.0,2.0,4.0,278.0,2.0,13.0,2020-02-02
248,湖北省,9074,267,294,黄石,43.0,7.0,0.0,252.0,8.0,2.0,2020-02-02
249,湖北省,9074,267,294,咸宁,40.0,0.0,0.0,246.0,1.0,0.0,2020-02-02
250,湖北省,9074,267,294,十堰,35.0,1.0,0.0,212.0,1.0,0.0,2020-02-02
251,湖北省,9074,267,294,仙桃,43.0,0.0,2.0,140.0,0.0,3.0,2020-02-02
252,湖北省,9074,267,294,恩施州,18.0,3.0,0.0,105.0,4.0,0.0,2020-02-02
253,湖北省,9074,267,294,天门,17.0,0.0,0.0,99.0,0.0,7.0,2020-02-02
254,湖北省,9074,267,294,潜江,8.0,0.0,0.0,35.0,0.0,1.0,2020-02-02
255,湖北省,9074,267,294,神农架林区,0.0,0.0,0.0,7.0,2.0,0.0,2020-02-02
256,湖北省,9074,267,294,未知地区,0.0,0.0,0.0,0.0,35.0,0.0,2020-02-02
257,湖北省,7153,168,249,武汉,576.0,3.0,33.0,3215.0,106.0,192.0,2020-02-01
258,湖北省,7153,168,249,黄冈,153.0,11.0,2.0,726.0,17.0,14.0,2020-02-01
259,湖北省,7153,168,249,孝感,87.0,0.0,3.0,628.0,2.0,12.0,2020-02-01
260,湖北省,7153,168,249,襄阳,61.0,0.0,0.0,347.0,0.0,0.0,2020-02-01
261,湖北省,7153,168,249,随州,76.0,0.0,1.0,304.0,0.0,1.0,2020-02-01
263,湖北省,7153,168,249,宜昌,109.0,0.0,0.0,276.0,0.0,1.0,2020-02-01
264,湖北省,7153,168,249,荆门,24.0,1.0,0.0,251.0,1.0,5.0,2020-02-01
265,湖北省,7153,168,249,鄂州,38.0,0.0,3.0,227.0,0.0,9.0,2020-02-01
266,湖北省,7153,168,249,黄石,41.0,1.0,1.0,209.0,1.0,2.0,2020-02-01
267,湖北省,7153,168,249,咸宁,40.0,1.0,0.0,206.0,1.0,0.0,2020-02-01
268,湖北省,7153,168,249,十堰,27.0,0.0,0.0,177.0,0.0,0.0,2020-02-01
269,湖北省,7153,168,249,仙桃,7.0,0.0,0.0,97.0,0.0,1.0,2020-02-01
270,湖北省,7153,168,249,恩施州,12.0,1.0,0.0,87.0,1.0,0.0,2020-02-01
271,湖北省,7153,168,249,天门,15.0,0.0,1.0,82.0,0.0,7.0,2020-02-01
272,湖北省,7153,168,249,潜江,15.0,0.0,0.0,27.0,0.0,1.0,2020-02-01
273,湖北省,7153,168,249,神农架林区,0.0,0.0,0.0,7.0,2.0,0.0,2020-02-01
274,湖北省,7153,168,249,恩施,0.0,0.0,0.0,87.0,1.0,0.0,2020-02-01
275,湖北省,5806,141,204,武汉,378.0,49.0,30.0,2639.0,103.0,159.0,2020-01-31
276,湖北省,5806,141,204,黄冈,77.0,1.0,0.0,573.0,6.0,12.0,2020-01-31
277,湖北省,5806,141,204,孝感,142.0,2.0,3.0,541.0,2.0,9.0,2020-01-31
278,湖北省,5806,141,204,襄阳,123.0,0.0,0.0,286.0,0.0,0.0,2020-01-31
279,湖北省,5806,141,204,随州,85.0,0.0,0.0,228.0,0.0,0.0,2020-01-31
